From,To,Length(m),Azimuth(deg),Clino(deg)
3.98@centerline.data,3.99@centerline.data,7.46,25.19,0.28
3.99@centerline.data,3.100@centerline.data,12.03,62.32,5.22
3.100@centerline.data,3.101@centerline.data,9.86,46.14,-10.22
3.101@centerline.data,3.102@centerline.data,12.38,76.65,26.61
3.102@centerline.data,3.103@centerline.data,12.93,349.50,25.73
3.103@centerline.data,3.104@centerline.data,10.32,30.38,0.47
3.104@centerline.data,5.1@centerline.data,62.70,231.18,-0.18
5.1@centerline.data,5.2@centerline.data,20.44,325.78,6.87
3.104@centerline.data,3.105@centerline.data,20.43,128.04,-0.27
3.105@centerline.data,3.106@centerline.data,45.17,63.88,2.18
3.106@centerline.data,3.107@centerline.data,41.59,9.83,0.01
3.107@centerline.data,3.108@centerline.data,36.05,30.67,0.66
3.108@centerline.data,3.109@centerline.data,36.31,11.25,-0.82
3.109@centerline.data,3.110@centerline.data,44.62,38.19,22.33
3.110@centerline.data,3.111@centerline.data,27.72,44.30,10.27
3.111@centerline.data,3.112@centerline.data,10.71,16.08,0.74
3.112@centerline.data,3.113@centerline.data,11.32,20.47,31.66
3.113@centerline.data,3.114@centerline.data,26.77,29.38,31.95
3.114@centerline.data,3.115@centerline.data,9.94,137.14,9.25
